,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,mp1897,mp1926,spop1897,spop1926,smp1897,smp1926,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
57,180,Arkhangel'sk,Arkhangel'skaia oblast',Severno-Zapadny,1,1,0,1.0,64.53,40.56,4164.1209,1645.1136,2617.3368,20882,71091,8095.851154000001,13741.766480000002,98.93570345,124.807239,80.98392691,90.78650228,0,0,0,0,1,0,0,0,0
110,279,Vologda,Vologodskaia oblast',Severno-Zapadny,1,1,0,7.0,59.22,39.88,3507.0084,1590.4144,2361.6936,27705,57081,14684.424719999999,25592.73748,104.6399734,119.9512673,92.05524902,103.0237971,0,0,0,0,1,0,0,0,0
166,403,Leningrad,Leningradskii gorsovet,Severno-Zapadny,1,1,0,37.0,59.94,30.31,3592.8036,918.6961,1816.7814,1378178,1723390,9027.51704,16356.082919999999,199.83421140000002,206.20396630000002,82.95625859,94.13569548,0,0,0,0,1,0,0,0,1
172,450,Vyborg,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,60.7,28.77,3684.49,827.7129,1746.339,32312,55750,18944.00146,27757.38295,107.81071680000001,119.4350125,97.00758009,104.6786226,0,0,0,0,1,0,0,0,1
220,536,Novgorod,Novgorodskaia oblast',Severno-Zapadny,1,1,0,26.0,58.54,31.27,3426.9316,977.8129,1830.5458,25736,31120,18842.69631,29252.03949,103.13714709999999,107.0315631,96.90198633,105.7545798,0,0,0,0,1,0,0,0,0
222,542,Staraia Russa,Novgorodskaia oblast',Severno-Zapadny,0,1,0,26.0,58.0,31.33,3364.0,981.5689,1817.14,15183,21511,17351.75797,27453.52515,92.69706805,99.52695498,95.28588862,104.4535072,0,0,0,0,1,0,0,0,0
251,602,Pskov,Pskovskaia oblast',Severno-Zapadny,1,1,0,34.0,57.82,28.34,3343.1524,803.1556,1638.6188,30478,40396,14356.50201,22520.48764,106.6006771,112.4975463,91.62238417,100.4441067,0,0,0,0,1,0,0,0,1
278,656,Briansk,Brianskaia oblast',Tcentralny,1,1,0,29.0,53.31,34.3,2841.9561,1176.49,1828.533,24781,25068,17355.988690000002,28236.5284,102.37053470000001,102.603679,95.29064818,105.0291236,0,0,0,0,0,0,1,0,1
281,669,Novozybkov,Brianskaia oblast',Tcentralny,0,1,0,48.0,52.54,31.94,2760.4516,1020.1636,1678.1276,15362,10715,13688.770390000001,22452.50963,92.92289466,86.10726265,90.71288283,100.38352049999999,0,0,0,0,0,0,1,0,1
300,701,Karachev,Brianskaia oblast',Tcentralny,0,1,1,29.0,53.12,34.97,2821.7344,1222.9009,1857.6064,15493,11908,18348.85512,29112.14815,93.08667469,88.07758161,96.37982029,105.6560078,0,0,0,0,0,0,1,0,1
